,latitude,longitude,cell_id,category
199,-35.48749999999163,-62.987499999999194,85,lights_no_people
200,-35.479166666658294,-69.58749999999924,85,lights_no_people
201,-35.45416666665829,-60.88749999999918,85,lights_no_people
202,-35.42083333332496,-60.17083333333251,85,lights_no_people
203,-35.387499999991626,-62.42916666666586,85,lights_no_people
204,-35.22916666665829,-63.595833333332536,85,lights_no_people
205,-35.11249999999162,-60.47916666666585,85,lights_no_people
206,-35.037499999991624,-64.25416666666587,85,lights_no_people
207,-35.029166666658284,-60.279166666665844,85,lights_no_people
208,-35.029166666658284,-63.01249999999919,85,lights_no_people
209,-34.99583333332495,-61.037499999999184,85,lights_no_people
210,-34.98749999999162,-67.51249999999922,85,lights_no_people
211,-34.97916666665829,-67.68749999999923,85,lights_no_people
212,-34.89583333332495,-60.00416666666584,85,lights_no_people
213,-34.85416666665829,-61.537499999999184,85,lights_no_people
214,-34.845833333324954,-62.47083333333252,85,lights_no_people
215,-34.83749999999162,-67.77083333333256,85,lights_no_people
216,-34.82916666665829,-64.37916666666587,85,lights_no_people
217,-34.76249999999162,-61.89583333333252,85,lights_no_people
218,-34.629166666658286,-60.47083333333251,85,lights_no_people
219,-34.61249999999162,-68.3541666666659,85,lights_no_people
220,-34.58749999999162,-60.95416666666585,85,lights_no_people
221,-34.49583333332495,-61.537499999999184,85,lights_no_people
222,-34.29583333332495,-60.24583333333251,85,lights_no_people
223,-34.26249999999162,-62.712499999999196,85,lights_no_people
224,-34.187499999991616,-60.72916666666585,85,lights_no_people
225,-34.120833333324946,-63.39583333333253,85,lights_no_people
226,-34.05416666665828,-60.10416666666584,85,lights_no_people
227,-34.01249999999161,-63.929166666665864,85,lights_no_people
228,-34.00416666665828,-61.61249999999919,85,lights_no_people
229,-33.91249999999162,-64.39583333333253,85,lights_no_people
230,-33.895833333324944,-60.57916666666584,85,lights_no_people
231,-33.895833333324944,-61.10416666666585,85,lights_no_people
232,-33.84583333332495,-65.17916666666588,85,lights_no_people
233,-33.76249999999161,-69.07083333333257,85,lights_no_people
234,-33.73749999999161,-61.97083333333252,85,lights_no_people
235,-33.67083333332494,-65.46249999999921,85,lights_no_people
236,-33.62916666665828,-64.02916666666587,85,lights_no_people
237,-33.620833333324946,-64.60416666666588,85,lights_no_people
238,-33.57916666665828,-69.02083333333258,85,lights_no_people
239,-33.554166666658276,-62.88749999999919,85,lights_no_people
240,-33.47916666665828,-60.03749999999918,85,lights_no_people
241,-33.454166666658274,-61.49583333333252,85,lights_no_people
242,-33.454166666658274,-67.55416666666589,85,lights_no_people
243,-33.41249999999161,-63.304166666665864,85,lights_no_people
244,-33.37916666665828,-64.72916666666588,85,lights_no_people
245,-33.36249999999161,-66.62083333333256,85,lights_no_people
246,-33.35416666665828,-60.17083333333251,85,lights_no_people
247,-33.35416666665828,-69.14583333333258,85,lights_no_people
248,-33.34583333332494,-63.720833333332536,85,lights_no_people
249,-33.28749999999161,-66.32083333333256,85,lights_no_people
250,-33.27916666665828,-62.18749999999919,85,lights_no_people
251,-33.245833333324946,-60.32083333333251,85,lights_no_people
252,-33.19583333332494,-68.61249999999923,85,lights_no_people
253,-33.16249999999161,-66.31249999999922,85,lights_no_people
254,-33.12916666665828,-68.48749999999923,85,lights_no_people
255,-33.12083333332494,-64.35416666666588,85,lights_no_people
256,-33.12083333332494,-66.07083333333254,85,lights_no_people
257,-33.054166666658276,-65.62916666666588,85,lights_no_people
258,-33.04583333332494,-61.17916666666585,85,lights_no_people
259,-33.04583333332494,-68.92083333333257,85,lights_no_people
260,-33.00416666665827,-61.81249999999919,85,lights_no_people
